"Status type","Status note","Key","Scientific or Common Name","Date","Location","Grid Reference","Abundance","Sex/Stage","Record Type","Observer","Determiner","Comments","Determination Type","Determination Comment"
"","",33,"Philaenus spumarius","2019-07-26","Bickerton Hill","SJ494528","1","Adult female","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712691""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Heather & bilberry""] [Verifier: ""Stewart, Alan""] [Verified on: ""17/02/2020""] ","Considered correct","Verified by Stewart, Alan 17/02/2020"
"","",34,"Philaenus spumarius","2019-07-03","Hale Duck Decoy","SJ479826","1","Adult female","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712690""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Verifier: ""Stewart, Alan""] [Verified on: ""17/02/2020""] ","Considered correct","Verified by Stewart, Alan 17/02/2020"
"","",35,"Philaenus spumarius","2019-07-03","Hale Duck Decoy","SJ478827","2","Adult female","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712689""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Field with mayweed""] [Verifier: ""Stewart, Alan""] [Verified on: ""17/02/2020""] ","Considered correct","Verified by Stewart, Alan 17/02/2020"
"","",36,"Philaenus spumarius","2019-08-30","Burton Marsh","SJ300738","1","Adult male","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712688""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Wet woodland""] [Verifier: ""Stewart, Alan""] [Verified on: ""17/02/2020""] ","Considered correct","Verified by Stewart, Alan 17/02/2020"
"Cloned","[Count of sex or stage: ""1m, 2f""; Sex: ""mixed""; Stage: ""Adult""]",37,"Oncopsis flavicollis","2019-05-22","Brookhouse Moss","SJ805619","1","Adult male","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712663""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Wet woodland""] [Verifier: ""Stewart, Alan""] [Verified on: ""23/02/2020""] ","Considered correct","Verified by Stewart, Alan 23/02/2020"
"Cloned","[Count of sex or stage: ""1m, 2f""; Sex: ""mixed""; Stage: ""Adult""]",37,"Oncopsis flavicollis","2019-05-22","Brookhouse Moss","SJ805619","2","Adult female","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712663""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Wet woodland""] [Verifier: ""Stewart, Alan""] [Verified on: ""23/02/2020""] ","Considered correct","Verified by Stewart, Alan 23/02/2020"
"","",38,"Oncopsis flavicollis","2019-05-22","Oakhanger Moss","SJ768551","1","Adult male","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712662""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Basin mire with birch scrub""] [Verifier: ""Stewart, Alan""] [Verified on: ""23/02/2020""] ","Considered correct","Verified by Stewart, Alan 23/02/2020"
"","",39,"Oncopsis flavicollis","2019-07-26","Bickerton Hill","SJ494526","1","Adult female","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712661""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Oak scrub & bracken""] [Verifier: ""Stewart, Alan""] [Verified on: ""23/02/2020""] ","Considered correct","Verified by Stewart, Alan 23/02/2020"
"Cloned","[Count of sex or stage: ""5m, 4f""; Sex: ""mixed""; Stage: ""Adult""]",40,"Oncopsis flavicollis","2019-05-21","Chester Zoo Nature Reserve","SJ408707","5","Adult male","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712660""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Open tree-planted area""] [Verifier: ""Stewart, Alan""] [Verified on: ""23/02/2020""] ","Considered correct","Verified by Stewart, Alan 23/02/2020"
"Cloned","[Count of sex or stage: ""5m, 4f""; Sex: ""mixed""; Stage: ""Adult""]",40,"Oncopsis flavicollis","2019-05-21","Chester Zoo Nature Reserve","SJ408707","4","Adult female","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712660""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Open tree-planted area""] [Verifier: ""Stewart, Alan""] [Verified on: ""23/02/2020""] ","Considered correct","Verified by Stewart, Alan 23/02/2020"
"","",41,"Oncopsis alni","2019-08-30","Burton Marsh","SJ301738","1","Adult female","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712658""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Woodland edge""] [Verifier: ""Stewart, Alan""] [Verified on: ""23/02/2020""] ","Considered correct","Verified by Stewart, Alan 23/02/2020"
"","",42,"Nothodelphax distincta","2019-05-22","Brookhouse Moss","SJ805618","1","Adult female","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712655""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Basin mire with birch scrub""] [Verifier: ""Stewart, Alan""] [Verified on: ""23/02/2020""] ","Considered correct","Verified by Stewart, Alan 23/02/2020"
"","",43,"Neophilaenus lineatus","2019-08-15","Bickley Hall Farm","SJ531480","1","Adult female","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712651""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Rushy pasture""] [Verifier: ""Stewart, Alan""] [Verified on: ""17/02/2020""] ","Considered correct","Verified by Stewart, Alan 17/02/2020"
"","",44,"Neophilaenus lineatus","2019-08-15","Bickley Hall Farm","SJ526480","1","Adult male","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712650""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Scrub (oak, hazel, alder, ash)""] [Verifier: ""Stewart, Alan""] [Verified on: ""17/02/2020""] ","Considered correct","Verified by Stewart, Alan 17/02/2020"
"","",45,"Neophilaenus lineatus","2019-08-30","Burton Marsh","SJ301745","1","Adult female","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712649""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Salt-marsh""] [Verifier: ""Stewart, Alan""] [Verified on: ""17/02/2020""] ","Considered correct","Verified by Stewart, Alan 17/02/2020"
"","",46,"Neophilaenus lineatus","2019-08-30","Denhall Quay","SJ290759","1","Adult female","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712648""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Salt marsh inner edge""] [Verifier: ""Stewart, Alan""] [Verified on: ""17/02/2020""] ","Considered correct","Verified by Stewart, Alan 17/02/2020"
"Cloned","[Count of sex or stage: ""1m, 1f""; Sex: ""mixed""; Stage: ""Adult""]",47,"Neophilaenus lineatus","2019-08-30","Denhall Quay","SJ287759","1","Adult male","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712647""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Salt marsh with sea aster""] [Verifier: ""Stewart, Alan""] [Verified on: ""17/02/2020""] ","Considered correct","Verified by Stewart, Alan 17/02/2020"
"Cloned","[Count of sex or stage: ""1m, 1f""; Sex: ""mixed""; Stage: ""Adult""]",47,"Neophilaenus lineatus","2019-08-30","Denhall Quay","SJ287759","1","Adult female","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712647""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Salt marsh with sea aster""] [Verifier: ""Stewart, Alan""] [Verified on: ""17/02/2020""] ","Considered correct","Verified by Stewart, Alan 17/02/2020"
"","",48,"Neophilaenus lineatus","2019-08-30","Denhall Quay","SJ286759","1","Adult female","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712646""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Salt marsh with sea aster""] [Verifier: ""Stewart, Alan""] [Verified on: ""17/02/2020""] ","Considered correct","Verified by Stewart, Alan 17/02/2020"
"","",49,"Macustus grisescens","2019-06-03","Bickley Hall Farm","SJ526480","1","Adult female","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712629""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Rough herbage & scrub""] [Verifier: ""Stewart, Alan""] [Verified on: ""23/02/2020""] ","Considered correct","Verified by Stewart, Alan 23/02/2020"
"","",50,"Macrosteles sexnotatus","2019-06-03","Bickley Hall Farm","SJ527481","2","Adult male","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712624""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Uncertain""] [Sample Comment: ""Hay meadow""] [Verifier: ""Stewart, Alan""] [Verified on: ""23/02/2020""] ","Considered correct","Verified by Stewart, Alan 23/02/2020"
"","",51,"Linnavuoriana decempunctata","2019-04-06","Croft, garden","SJ637932","1","Adult female","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712618""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Wadeson Way""] [Verifier: ""Stewart, Alan""] [Verified on: ""23/02/2020""] ","Considered correct","Verified by Stewart, Alan 23/02/2020"
"","",52,"Kybos","2019-07-26","Bickerton Hill","SJ503530","1","Adult male","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712617""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Woodland edge.   Specimen retained - requires dissection for ID to species""] [Verifier: ""Stewart, Alan""] [Verified on: ""27/02/2020""] ","Considered correct","Verified by Stewart, Alan 27/02/2020"
"","",53,"Kybos strigilifer","2019-08-15","Bickley Hall Farm","SJ526480","1","Adult female","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712614""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Likely""] [Sample Comment: ""Scrub (oak, hazel, alder, ash)""] [Verifier: ""Stewart, Alan""] [Verified on: ""23/02/2020""] ","Considered correct","Verified by Stewart, Alan 23/02/2020"
"Cloned","[Count of sex or stage: ""1m, 1f""; Sex: ""mixed""; Stage: ""Adult""]",54,"Idiocerus lituratus","2019-08-15","Bickley Hall Farm","SJ533478","1","Adult male","Trapped (netted)","Phil Brighton","Phil Brighton","[iRecord Key: ""iBRC12712608""] [Source: ""iRecord | iRecord Import""] [Recorder certainty: ""Certain""] [Sample Comment: ""Marshy pond with willow""] [Verifier: ""Stewart, Alan""] [Verified on: ""23/02/2020""] ","Considered correct","Verified by Stewart, Alan 23/02/2020"
